freq,WS1,WS2,W1,W2,LS1,LS2,L1,L2,S11r,S11i,S21r,S21i,S31r,S31i,S41r,S41i
2.0,4.6,2.1,2.6,2.1,17.0,8.5,38.8,21.6,-0.9013,0.102,-0.2511,0.052,0.2629,0.0205,-0.0537,0.1759
2.0,1.2,3.6,1.4,4.5,13.7,9.9,26.9,14.6,-0.3632,0.3454,-0.3718,-0.6726,-0.2071,0.236,-0.0172,0.2209
2.0,2.2,2.5,4.5,3.6,12.8,20.7,42.9,8.9,-0.5308,0.5021,-0.1621,-0.1518,0.1705,0.1981,-0.4524,-0.3519
2.0,2.5,2.6,3.6,3.4,14.1,11.6,41.5,27.1,-0.5652,-0.0625,-0.4507,0.0507,0.4615,0.0019,-0.4059,0.2827
2.0,3.2,4.4,2.8,2.6,3.1,17.3,24.4,36.1,-0.1355,-0.0029,-0.3376,0.0372,0.3263,0.1617,-0.8037,-0.2603
2.0,1.9,2.3,2.2,1.7,19.5,20.6,26.3,35.7,-0.9539,-0.035,-0.0072,0.129,0.0219,-0.0669,-0.0214,0.2293
2.0,3.2,2.2,4.2,4.4,9.5,16.8,27.7,37.9,-0.4163,0.0333,-0.4827,0.0411,0.4798,0.1614,-0.5594,-0.0731
2.0,1.4,1.9,2.9,2.7,15.0,15.5,21.8,30.6,-0.4308,-0.0718,-0.335,-0.2455,0.2579,0.5323,-0.4763,-0.2119
2.0,1.6,3.4,2.4,3.5,20.4,16.8,7.5,20.0,-0.6244,0.39,0.0415,0.1737,-0.1085,0.1268,-0.305,-0.5379
2.0,4.6,4.9,4.8,3.8,17.0,13.2,22.7,17.2,-0.7233,-0.1693,-0.2489,-0.2533,0.2234,0.4171,-0.2589,0.1297
2.0,4.3,1.6,3.9,2.7,8.6,3.8,13.6,39.0,-0.348,-0.1759,0.1094,-0.1905,-0.3715,0.6518,-0.4262,-0.1589
2.0,3.3,2.2,2.4,3.5,16.4,16.0,29.1,34.6,-0.777,-0.0869,-0.2441,0.3339,0.2653,-0.1695,-0.1906,0.261
2.0,4.0,4.9,4.3,4.0,20.9,10.9,14.0,26.2,-0.9685,0.0568,-0.0574,-0.0391,0.0518,0.1205,-0.0032,0.1501
2.0,4.0,4.4,1.8,3.4,8.6,18.7,43.2,35.2,-0.8516,-0.0475,-0.0135,0.1952,0.0402,-0.1412,-0.0614,0.4409
2.0,1.0,4.7,2.1,4.3,16.6,21.2,38.1,30.5,-0.8283,-0.2616,-0.0094,0.1036,0.0245,-0.0596,-0.1515,0.4347
2.0,2.1,2.8,1.8,4.4,2.7,4.8,39.0,14.3,-0.2979,0.3107,-0.2917,-0.6725,-0.3357,0.2817,-0.0215,0.2698
2.0,3.8,4.7,1.1,1.3,3.5,9.3,15.3,8.0,-0.0403,0.6747,-0.0202,-0.4141,-0.4786,-0.257,-0.1843,-0.1837
2.0,1.8,4.4,1.0,1.7,6.4,13.9,36.7,22.7,-0.1168,-0.0134,-0.3422,0.0964,0.3382,0.2198,-0.7695,-0.2917
