freq,W1,W2,W3,W4,W5,W6,W7,W8,L1,L2,L3,L4,S11r,S11i,S21r,S21i,S31r,S31i,S41r,S41i
2.6,1.3,3.1,2.0,2.1,3.1,2.0,3.9,1.0,29.3,77.7,42.3,21.4,-0.461,0.367,-0.187,-0.443,0.241,0.52,-0.224,-0.155
2.6,1.5,3.8,1.5,3.1,3.8,1.7,3.8,1.1,83.6,54.6,37.4,77.2,-0.278,0.476,0.307,0.35,-0.3,-0.388,-0.17,-0.431
2.6,3.3,3.4,4.9,2.2,3.9,3.7,2.3,3.8,66.5,76.2,72.4,87.5,-0.558,0.234,0.051,-0.528,0.068,-0.497,0.254,-0.123
2.6,4.8,1.8,2.7,3.4,3.1,2.5,1.5,4.0,61.2,52.1,17.0,79.9,0.001,-0.203,0.482,0.275,0.616,-0.185,0.451,0.034
2.6,1.9,1.9,2.8,4.8,4.0,3.9,1.2,1.6,46.2,52.8,71.9,40.3,0.187,0.824,0.28,0.018,-0.248,-0.263,-0.092,0.169
2.6,3.8,1.9,4.7,4.4,1.3,2.1,4.8,3.4,47.1,74.9,58.2,55.7,-0.602,0.354,0.059,-0.331,0.217,0.062,0.074,0.571
2.6,4.3,2.4,3.8,3.7,3.6,2.3,3.7,2.8,65.2,25.0,57.3,69.3,-0.475,-0.319,-0.343,0.447,0.261,-0.205,0.348,-0.306
2.6,1.6,1.8,2.4,4.9,1.4,1.3,4.4,2.3,14.5,29.6,76.5,58.0,-0.415,0.34,-0.381,-0.063,-0.346,-0.008,-0.489,-0.435
2.6,3.9,2.2,4.2,4.4,1.9,4.7,3.4,2.0,63.1,35.4,26.0,31.7,-0.635,-0.13,-0.066,0.694,0.031,-0.137,0.112,-0.197
2.6,2.3,2.7,3.7,1.1,4.2,1.7,1.6,2.3,70.3,99.8,25.3,96.6,-0.205,0.24,-0.425,0.309,-0.414,-0.173,0.535,-0.314
2.6,2.5,3.4,3.8,2.1,3.9,1.2,3.5,4.5,29.2,59.0,83.5,90.5,-0.354,0.45,0.526,0.243,0.184,0.065,-0.528,-0.002
2.6,2.3,1.4,3.4,3.9,4.7,1.3,4.3,2.3,87.3,40.7,40.5,71.1,-0.332,0.446,0.042,0.447,-0.146,-0.427,-0.044,-0.512
2.6,3.3,4.3,2.0,2.5,4.7,2.7,4.6,3.7,33.1,93.2,65.3,90.1,-0.097,0.038,-0.448,0.232,0.056,0.086,-0.779,0.265
2.6,3.4,3.7,4.0,1.5,1.6,3.7,2.0,1.6,16.4,40.1,18.1,51.0,-0.255,0.369,-0.195,0.361,0.667,0.107,-0.216,-0.338
2.6,3.5,3.9,4.6,2.2,3.0,1.7,1.1,2.1,73.8,36.3,10.0,4.5,-0.176,0.405,-0.498,0.239,0.261,-0.212,0.551,-0.258
2.6,1.2,3.8,1.5,2.7,3.6,4.1,3.5,2.4,9.9,79.8,36.0,13.2,0.091,0.57,0.163,-0.423,-0.261,0.408,0.445,0.003
2.6,3.6,3.3,3.6,1.6,2.5,1.6,1.5,2.1,77.9,25.6,5.0,90.4,-0.351,0.398,-0.571,-0.191,-0.431,-0.103,0.24,-0.292
2.6,4.6,2.6,1.2,1.1,2.5,2.0,4.8,1.9,87.5,41.6,44.9,20.7,-0.389,0.629,-0.018,0.229,-0.269,-0.374,-0.273,-0.294
2.6,4.8,4.1,2.8,4.9,4.7,4.4,1.9,4.3,65.5,6.4,37.3,62.8,-0.593,0.223,-0.175,-0.455,0.188,0.461,0.195,0.247
2.6,3.9,1.6,5.0,4.1,4.9,4.6,1.8,1.4,86.5,44.3,77.4,18.3,-0.236,0.086,-0.154,0.498,-0.286,0.462,-0.165,-0.563
2.6,1.1,2.4,3.6,1.4,3.8,3.6,2.3,3.2,7.1,7.9,15.3,95.4,0.064,0.694,0.051,-0.183,-0.601,-0.028,0.161,-0.279
2.6,1.3,3.2,2.3,4.6,2.8,3.3,3.3,3.3,17.2,16.2,47.3,82.3,-0.429,0.189,-0.343,-0.52,0.057,-0.018,-0.237,-0.558
2.6,4.2,2.8,2.7,2.8,4.3,3.4,4.0,1.0,98.4,82.5,32.1,32.9,-0.506,0.093,-0.374,-0.413,0.158,0.444,-0.151,-0.39
2.6,4.1,4.1,3.3,3.3,4.3,1.6,2.7,4.8,15.6,14.1,23.1,7.4,0.262,0.324,-0.486,-0.397,-0.614,0.197,-0.043,-0.022
2.6,4.2,3.7,4.5,4.6,1.5,3.7,3.5,1.6,65.5,72.5,78.4,81.1,-0.525,0.092,0.14,-0.49,0.203,-0.501,0.364,-0.074
2.6,2.1,4.1,2.5,1.5,4.7,3.4,4.4,4.7,11.7,60.5,84.0,19.0,-0.452,0.484,0.403,0.337,-0.029,-0.076,-0.416,-0.296
2.6,3.2,4.8,1.3,1.4,1.7,1.2,1.2,2.5,65.8,90.8,19.2,90.1,-0.531,0.299,-0.456,-0.47,-0.037,0.022,0.323,0.271
2.6,3.2,4.1,3.9,1.5,3.4,4.9,3.5,3.3,47.3,35.5,98.2,93.2,-0.213,0.397,-0.503,0.288,0.596,-0.09,0.027,0.268
2.6,1.0,3.1,2.7,2.8,4.5,1.6,1.5,1.1,65.6,26.7,38.5,44.8,-0.619,0.655,-0.238,-0.13,0.132,0.085,0.238,0.117
2.6,2.3,4.4,2.1,2.5,3.5,3.7,4.7,3.4,29.5,69.4,49.8,96.0,-0.682,0.391,0.135,-0.216,0.266,0.423,-0.169,-0.142
2.6,1.8,1.5,1.4,3.0,4.2,4.3,1.8,3.4,46.5,96.7,89.0,39.1,0.099,0.575,-0.342,-0.446,-0.244,-0.376,0.118,0.315
2.6,3.0,1.1,4.7,2.9,4.4,2.8,4.4,3.9,91.1,13.4,71.3,18.8,0.083,0.352,-0.465,0.194,-0.354,0.253,-0.422,-0.463
2.6,4.8,2.8,1.5,3.5,4.9,2.6,4.5,2.9,49.5,65.1,87.5,12.2,-0.205,-0.375,0.616,-0.091,0.248,-0.545,-0.127,-0.11
2.6,2.3,4.6,3.0,2.4,2.9,4.3,3.8,2.4,34.7,50.7,84.6,7.4,-0.512,0.577,0.294,0.319,0.188,0.289,-0.291,0.03
2.6,4.8,4.5,3.7,4.5,2.8,4.1,1.4,1.8,31.5,89.8,42.1,93.3,-0.56,0.248,-0.34,-0.324,0.366,0.316,-0.389,0.047
2.6,1.9,1.0,2.5,3.8,3.4,1.0,1.8,3.6,56.9,23.9,55.4,42.9,-0.242,0.059,-0.492,-0.397,-0.333,-0.094,0.444,0.449
2.6,4.9,4.2,1.8,2.2,2.4,2.5,2.6,1.2,95.6,12.2,50.4,91.1,-0.555,-0.035,-0.27,-0.527,0.181,0.131,-0.253,-0.456
2.6,4.0,1.2,4.8,3.9,4.8,4.0,3.6,3.7,99.3,21.6,99.8,53.9,-0.202,-0.088,-0.435,0.362,-0.044,-0.342,-0.684,0.061
2.6,2.7,3.8,2.1,4.6,3.6,4.7,1.5,2.3,63.2,90.0,44.9,9.0,-0.151,-0.094,-0.225,-0.482,0.577,-0.128,0.513,-0.186
2.6,1.2,1.2,3.4,1.2,3.2,2.6,4.2,4.2,59.9,49.2,56.2,5.0,-0.355,0.294,0.373,0.474,0.234,0.096,0.428,0.395
2.6,2.2,4.1,1.7,4.9,3.1,3.4,4.1,2.6,6.7,79.2,45.8,73.5,0.212,0.667,0.57,-0.251,0.116,0.128,0.178,0.129
2.6,3.4,4.2,2.8,1.9,1.2,2.6,3.2,1.1,88.9,82.4,32.4,54.6,-0.484,0.343,-0.192,-0.368,-0.003,0.334,-0.237,-0.536
2.6,4.5,4.7,3.2,1.8,4.4,2.7,3.4,3.4,98.3,16.8,71.8,53.6,-0.692,0.054,-0.213,-0.294,-0.235,-0.348,-0.35,-0.258
2.6,4.1,3.9,3.6,4.1,3.6,3.1,1.2,3.3,68.0,70.5,96.0,70.1,-0.564,-0.049,0.299,-0.531,0.308,-0.132,0.334,-0.243
2.6,2.6,1.7,4.4,5.0,3.1,1.1,2.4,1.1,75.0,88.0,15.1,54.5,-0.529,0.156,0.039,-0.395,0.252,0.133,0.196,-0.627
2.6,2.8,1.4,2.5,3.2,4.1,4.6,1.1,5.0,40.8,5.9,84.3,12.7,-0.19,0.264,0.451,-0.348,0.158,0.32,-0.342,0.55
2.6,3.5,4.5,3.5,5.0,2.6,4.6,5.0,4.2,79.4,35.1,94.5,75.5,-0.266,0.061,-0.529,0.684,0.014,0.058,0.231,-0.25
2.6,1.6,2.7,3.5,3.2,4.5,3.4,4.4,1.2,46.2,80.9,32.9,96.5,-0.341,0.805,-0.228,-0.175,0.082,0.104,0.179,0.29
2.6,2.4,4.6,4.7,2.3,4.9,3.4,3.8,3.0,52.8,59.8,40.7,77.3,-0.779,0.315,0.23,0.111,-0.025,0.148,0.212,0.37
2.6,2.9,1.8,2.8,2.2,2.7,1.5,4.8,4.8,10.0,97.5,20.2,66.9,-0.066,0.59,-0.546,-0.32,0.146,-0.143,-0.234,-0.355
2.6,3.0,3.0,2.7,4.6,3.1,3.2,2.6,3.3,71.5,59.7,20.7,32.2,-0.57,0.342,0.498,0.198,-0.383,-0.062,0.317,-0.041
2.6,3.4,3.4,2.5,1.0,4.4,2.3,4.0,3.3,32.5,87.7,48.2,35.4,-0.208,0.235,-0.362,-0.02,0.632,-0.099,-0.564,0.13
2.6,4.7,4.6,1.9,2.8,1.9,1.9,2.0,1.8,63.4,21.5,85.1,49.7,-0.363,-0.018,-0.59,-0.218,-0.538,0.261,0.265,-0.154
2.6,1.9,4.6,1.4,4.8,1.2,2.0,2.8,1.1,66.8,28.9,63.2,58.3,-0.253,0.221,-0.568,0.252,-0.389,-0.301,0.443,-0.204
2.6,2.7,1.0,2.9,1.3,1.5,3.5,3.1,2.2,78.1,60.6,26.3,55.9,0.015,-0.038,0.162,-0.125,0.283,-0.087,0.482,-0.775
2.6,1.0,3.2,2.0,2.7,4.9,2.7,2.7,2.5,83.7,92.8,80.7,57.4,-0.317,0.333,-0.167,-0.568,-0.032,-0.19,-0.248,-0.55
2.6,4.5,4.4,2.2,1.4,4.6,2.5,1.3,4.0,48.3,17.4,99.0,22.3,-0.406,0.408,-0.445,-0.59,0.143,-0.014,0.144,0.261
2.6,1.1,3.2,4.3,3.8,4.0,3.2,1.6,3.9,9.7,21.0,33.5,69.9,0.148,0.746,-0.367,0.12,0.059,-0.313,-0.068,-0.382
2.6,4.5,3.4,4.1,2.2,1.4,3.6,2.1,1.8,40.1,40.8,16.8,91.5,-0.408,0.373,-0.077,0.343,0.523,0.354,-0.273,0.287
2.6,4.7,4.1,2.1,1.3,1.2,5.0,4.7,4.6,71.7,59.1,56.3,17.0,-0.247,0.07,0.462,0.122,-0.107,0.28,0.675,-0.368
